Time, longitude, latitude
Thu Nov 10 09:23:21 2022,38.5914083,076.2912069
Thu Nov 10 09:23:22 2022,38.5914107,076.2912207
Thu Nov 10 09:23:23 2022,38.5914116,076.2912176
Thu Nov 10 09:23:24 2022,38.5914142,076.2912186
Thu Nov 10 09:23:25 2022,38.5914165,076.2912194
Thu Nov 10 09:23:26 2022,38.5914185,076.2912251
Thu Nov 10 09:23:27 2022,38.5914224,076.2912228
Thu Nov 10 09:23:28 2022,38.5914311,076.2912253
Thu Nov 10 09:23:29 2022,38.5914317,076.2912339
Thu Nov 10 09:23:30 2022,38.5914372,076.2912354
Thu Nov 10 09:23:31 2022,38.5914402,076.2912345
Thu Nov 10 09:23:32 2022,38.5914422,076.2912335
Thu Nov 10 09:23:33 2022,38.5914409,076.2912332
Thu Nov 10 09:23:34 2022,38.5914407,076.2912333
Thu Nov 10 09:23:35 2022,38.5914395,076.2912271
Thu Nov 10 09:23:36 2022,38.5914411,076.2912272
Thu Nov 10 09:23:37 2022,38.5914431,076.2912255
Thu Nov 10 09:23:38 2022,38.5914438,076.2912258
Thu Nov 10 09:23:39 2022,38.5914434,076.2912249
Thu Nov 10 09:23:40 2022,38.5914428,076.2912224
Thu Nov 10 09:23:41 2022,38.5914424,076.2912212
Thu Nov 10 09:23:42 2022,38.5914420,076.2912200
Thu Nov 10 09:23:43 2022,38.5914414,076.2912191
Thu Nov 10 09:23:44 2022,38.5914410,076.2912181
Thu Nov 10 09:23:45 2022,38.5914405,076.2912172
Thu Nov 10 09:23:46 2022,38.5914411,076.2912175
Thu Nov 10 09:23:47 2022,38.5914418,076.2912187
Thu Nov 10 09:23:48 2022,38.5914425,076.2912200
Thu Nov 10 09:23:49 2022,38.5914434,076.2912211
Thu Nov 10 09:23:50 2022,38.5914440,076.2912217
Thu Nov 10 09:23:51 2022,38.5914443,076.2912220
Thu Nov 10 09:23:52 2022,38.5914447,076.2912226
Thu Nov 10 09:23:53 2022,38.5914446,076.2912229
Thu Nov 10 09:23:54 2022,38.5914448,076.2912232
Thu Nov 10 09:23:55 2022,38.5914453,076.2912262
Thu Nov 10 09:23:56 2022,38.5914454,076.2912285
Thu Nov 10 09:23:57 2022,38.5914464,076.2912312
Thu Nov 10 09:23:58 2022,38.5914482,076.2912348
Thu Nov 10 09:23:59 2022,38.5914487,076.2912376
Thu Nov 10 09:24:00 2022,38.5914484,076.2912395
Thu Nov 10 09:24:01 2022,38.5914486,076.2912415
Thu Nov 10 09:24:02 2022,38.5914488,076.2912427
Thu Nov 10 09:24:03 2022,38.5914489,076.2912426
Thu Nov 10 09:24:04 2022,38.5914500,076.2912433
Thu Nov 10 09:24:05 2022,38.5914510,076.2912435
Thu Nov 10 09:24:06 2022,38.5914517,076.2912432
Thu Nov 10 09:24:07 2022,38.5914511,076.2912426
Thu Nov 10 09:24:08 2022,38.5914510,076.2912424
Thu Nov 10 09:24:09 2022,38.5914515,076.2912424
Thu Nov 10 09:24:10 2022,38.5914525,076.2912426
Thu Nov 10 09:24:11 2022,38.5914545,076.2912440
Thu Nov 10 09:24:12 2022,38.5914550,076.2912449
Thu Nov 10 09:24:13 2022,38.5914535,076.2912459
Thu Nov 10 09:24:14 2022,38.5914535,076.2912465
Thu Nov 10 09:24:15 2022,38.5914529,076.2912470
Thu Nov 10 09:24:16 2022,38.5914524,076.2912480
Thu Nov 10 09:24:17 2022,38.5914517,076.2912491
Thu Nov 10 09:24:18 2022,38.5914514,076.2912501
Thu Nov 10 09:24:19 2022,38.5914509,076.2912511
Thu Nov 10 09:24:20 2022,38.5914501,076.2912519
Thu Nov 10 09:24:21 2022,38.5914495,076.2912523
Thu Nov 10 09:24:22 2022,38.5914487,076.2912530
Thu Nov 10 09:24:23 2022,38.5914486,076.2912533
Thu Nov 10 09:24:24 2022,38.5914489,076.2912535
Thu Nov 10 09:24:25 2022,38.5914492,076.2912533
